Shashi K. Gadia	books/bc/tanselCGSS93/Gadia93
Shashi K. Gadia	books/bc/tanselCGSS93/GadiaN93
Sunil S. Nair	books/bc/tanselCGSS93/GadiaN93
Seymour Ginsburg	books/bc/tanselCGSS93/Ginsburg93
Christian S. Jensen	books/bc/tanselCGSS93/JensenM93
Leo Mark	books/bc/tanselCGSS93/JensenM93
Curtis P. Kolovson	books/bc/tanselCGSS93/Kolovson93
T. Y. Cliff Leung	books/bc/tanselCGSS93/LeungM93
Richard R. Muntz	books/bc/tanselCGSS93/LeungM93
David B. Lomet	books/bc/tanselCGSS93/LometS93
Betty Salzberg	books/bc/tanselCGSS93/LometS93
Nikos A. Lorentzos	books/bc/tanselCGSS93/Lorentzos93
Angelo Montanari	books/bc/tanselCGSS93/MontanariP93
Barbara Pernici	books/bc/tanselCGSS93/MontanariP93
Shamkant B. Navathe	books/bc/tanselCGSS93/NavatheA93
Rafi Ahmed	books/bc/tanselCGSS93/NavatheA93
Nandlal L. Sarda	books/bc/tanselCGSS93/Sadra93
Arie Segev	books/bc/tanselCGSS93/Segev93
Arie Segev	books/bc/tanselCGSS93/SegevS93
Arie Shoshani	books/bc/tanselCGSS93/SegevS93
Richard T. Snodgrass	books/bc/tanselCGSS93/Snodgrass93
Abdullah Uz Tansel	books/bc/tanselCGSS93/Tansel93
Alexander Tuzhilin	books/bc/tanselCGSS93/Tuzhilin93
Gio Wiederhold	books/bc/tanselCGSS93/WiederholdJL93
Sushil Jajodia	books/bc/tanselCGSS93/WiederholdJL93
Witold Litwin	books/bc/tanselCGSS93/WiederholdJL93
Gene T. J. Wuu	books/bc/tanselCGSS93/WuuD93
Umeshwar Dayal	books/bc/tanselCGSS93/WuuD93
Paolo Atzeni	books/bc/AtzeniA93
Valeria De Antonellis	books/bc/AtzeniA93
Carlo Batini	books/bc/BatiniCN92
Stefano Ceri	books/bc/BatiniCN92
Shamkant B. Navathe	books/bc/BatiniCN92
Grady Booch	books/bc/Booch90
